info,durationV,f0,int
capo_1,0.15,196.18,78.52
capo_2,0.16,173.14,78.06
pinto_1,0.13,239.11,68.3
pinto_2,0.1,198.79,73.35
pujo_1,0.13,240.84,79.35
pujo_2,0.13,201.63,80.19
quemo_1,0.14,198.46,76.43
quemo_2,0.13,188.54,75.49
testo_1,0.13,219.68,76.09
testo_2,0.12,180.01,75.23
